image, depth, height, width
3Dircadb1.1, 181, 173, 213
3Dircadb1.2, 207, 192, 215
3Dircadb1.3, 192, 181, 192
3Dircadb1.4, 165, 207, 204
3Dircadb1.5, 215, 233, 234
3Dircadb1.6, 178, 236, 224
3Dircadb1.7, 181, 204, 291
3Dircadb1.8, 186, 159, 260
3Dircadb1.9, 179, 222, 238
3Dircadb1.10, 183, 192, 218
3Dircadb1.11, 178, 191, 220
3Dircadb1.12, 240, 165, 224
3Dircadb1.13, 169, 209, 230
3Dircadb1.14, 167, 169, 256
3Dircadb1.15, 185, 179, 221
3Dircadb1.16, 205, 238, 222
3Dircadb1.17, 181, 231, 226
3Dircadb1.18, 148, 215, 250
3Dircadb1.19, 285, 171, 209
3Dircadb1.20, 201, 216, 247
